DATE,HOME_TEAM,AWAY_TEAM,HOME_LEAGUE_ID,AWAY_LEAGUE_ID,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,RESULT,HOME_TARGET,AWAY_TARGET,HOME_FOULS,AWAY_FOULS,HOME_CORNERS,AWAY_CORNERS,HOME_YELLOW,AWAY_YELLOW,HOME_RED,AWAY_RED
5/18/2025,BW Linz,Salzburg,AUT,AUT,1,2,A,5,4,9,9,6,9,1,0,0,0
5/9/2025,Sturm Graz,Salzburg,AUT,AUT,4,2,H,5,5,10,8,4,5,0,1,0,0
5/24/2025,Real Madrid,Sociedad,SP1,SP1,2,0,H,8,1,5,7,11,4,0,0,0,0
5/18/2025,Sevilla,Real Madrid,SP1,SP1,0,2,A,1,6,7,9,1,7,0,1,2,0
5/14/2025,Real Madrid,Mallorca,SP1,SP1,2,1,H,13,2,6,15,26,0,0,3,0,0
5/26/2025,Al Hilal,Al Qadsiah,KSA,KSA,2,0,H,8,1,16,12,3,2,1,0,0,0
5/21/2025,Al Wahda,Al Hilal,KSA,KSA,1,1,D,2,3,11,9,6,7,4,2,0,0
5/16/2025,Al Fateh,Al Hilal,KSA,KSA,3,4,A,6,13,10,8,8,9,4,2,0,0
5/10/2025,Club America,Pachuca,MEX,MEX,2,0,H,5,5,7,10,4,6,2,5,0,1
5/7/2025,Pachuca,Club America,MEX,MEX,0,0,D,2,8,13,12,5,3,3,3,0,0
